id,ontological_category,semanticfield,description,name,Kinship2,Number,Clothing,Speech,Time,Emotion,Body,physGeo,Plant,Animal,notes,included?,words_Arabic,words_Indonesian,words_Basque,words_Tamil,words_Albanian,words_Hindi,words_Russian,words_Spanish,words_Swahili,words_Turkish,words_Hungarian,words_Thai,words_English
3089,Person/Thing,Animals,"A quadruped animal native to Africa, remarkable for the length of its legs and neck.",GIRAFFE,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3139,Person/Thing,Animals,Flying insect of the Coleoptera order.,LADYBUG,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3140,Person/Thing,Clothing and grooming,A piece of clothing for the upper body without sleeves and usually worn over a shirt.,VEST,,,TRUE,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3142,Person/Thing,Animals,"Large horned wild animal of the Bovidae family. Related to buffalo but differs, for example, in horn shape and form.",BISON,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3143,Person/Thing,Animals,White bear living in the northern pole regions.,POLAR BEAR,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3144,Person/Thing,Animals,"Large, African ape covered in dark hair.",GORILLA,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3145,Person/Thing,Animals,"Heavy, African animal living in rivers and lakes.",HIPPOPOTAMUS,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3146,Person/Thing,Animals,Wild Animal of the cat family with characteristic dark spots.,CHEETAH,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3147,Person/Thing,Animals,"Mouse-sized animal with large cheeks for storing food, often kept as a pet.",HAMSTER,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3148,Person/Thing,Animals,Southern African animal known for its long tail and often seen standing up on its back legs.,MEERKAT,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3152,Person/Thing,Animals,"Also known as barking deer, a kind of small deer of the genus Muntiacus.",MUNTJACS,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3154,Person/Thing,Animals,"Also known as wild pig, an undomestic four-legged animal (Sus scrofa) living in the wild.",WILD BOAR,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3156,Person/Thing,Agriculture and vegetation,Tree of the Corypha Utan species.,GEBANG PALM,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3157,Person/Thing,Animals,"A carnivorous mammal of the Viverridae family, found across South East Asia.",CIVET,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3158,Person/Thing,Animals,"An insect of the species Leptocorisa oratoria, which gives of an unpleasant smell when disturbed and feeds on rice plants, destroying the crops.",RICE EAR BUG,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3162,Person/Thing,Kinship,"The child of a parent’s opposite-sex sibling, for example the father’s sister’s son.",CROSS-COUSIN,TRUE,,,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3167,Person/Thing,Religion and belief,"A religious lecture or speech, addressing issues of religion or morality.",SERMON,,,,TRUE,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3211,Person/Thing,Emotions and values,The belief in the possibility that something one wants will happen.,HOPE (FAITH),,,,,,TRUE,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3220,Person/Thing,Kinship,A brother of someone's mother.,MATERNAL UNCLE,TRUE,,,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3221,Person/Thing,Agriculture and vegetation,"A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.",PLANTAGO,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3241,Person/Thing,Agriculture and vegetation,Annual herb in the family Apiaceae.,CORIANDER,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3243,Person/Thing,Agriculture and vegetation,A common name for various coniferous trees or shrubs of northern temperate regions that belong to the family Cupressaceae.,CYPRESS,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3248,Person/Thing,Agriculture and vegetation,A group of trees belonging to the genus acer.,MAPLE TREE,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3249,Person/Thing,Kinship,Older brother of ego's mother.,MATERNAL UNCLE (MOTHER'S OLDER BROTHER),TRUE,,,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3250,Person/Thing,Kinship,Younger brother of ego's mother.,MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER),TRUE,,,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
