"ontological_category","semanticfield","id","description","name","Kinship","Number","Clothing","Speech","Time","Emotion","Body","physGeo","Plant","Animal","notes","included"
"Person/Thing","The physical world",891,"The periodic rise and fall of the water resulting from gravitational interaction between the sun, moon and earth.","TIDE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no bc just water movin",FALSE
"Person/Thing","Time",892,"The dimension of the physical universe which, at a given place, orders the sequence of events.","TIME",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","Basic actions and technology",893,"A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.","TIN (METAL)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",894,"Any anuran amphibian of the family Bufonidae, such as Bufo bufo of Europe. They are similar to frogs but are more terrestrial, having a drier warty skin.","TOAD",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Animals",895,"Any herbivorous terrestrial chelonian reptile of the family Testudinidae, of most warm regions, having a heavy dome-shaped shell and clawed limbs.","TORTOISE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Animals",896,"Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.","ANACONDA (WATER BOA)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Action/Process","Food and drink",897,"The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis.","SWALLOW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Possession",898,"The act or the business of buying and selling for money. Mercantile or commercial business in general or the buying and selling, or exchanging, of commodities, either by wholesale or retail within a country or between countries. (Source: WESTS)","TRADE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Modern world",899,"The title of one who presides over an organisation, company, trade union, university, country, etc.","PRESIDENT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Modern world",900,"A self-propelled, connected group of vehicles moving on rails.","TRAIN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
